Date,Forecasted_Tax_Revenue(N),Confidence_Interval_Lower,Confidence_Interval_Upper,Year,Month
2019-01-31,8619688814.636024,6778314286.828241,10501398699.927382,2019,1
2019-02-28,8573567592.747829,6819980087.241286,10247006313.206377,2019,2
2019-03-31,8522504811.284119,6797466363.297276,10316541346.030865,2019,3
2019-04-30,8473089216.960812,6635340669.829472,10394899833.383293,2019,4
2019-05-31,8422026436.630456,6670578288.734095,10269935821.751219,2019,5
2019-06-30,8372610843.235851,6464211732.771281,10309808937.051435,2019,6
2019-07-31,8321548063.0688715,6528787349.880058,10134604548.441204,2019,7
2019-08-31,8270485282.9877205,6608419638.54154,10122259125.65914,2019,8
2019-09-30,8221069688.587169,6366637092.762909,9995684252.910152,2019,9
2019-10-31,8170006907.3535,6375163996.116518,9865859845.935238,2019,10
2019-11-30,8120591312.611241,6258645058.220318,9982672161.796183,2019,11
2019-12-31,8069528531.377574,6246397476.690132,9949654896.791008,2019,12
2020-01-31,8018465750.143908,6167325577.822723,9858153975.12363,2020,1
2020-02-29,7970697341.893057,6238035217.757323,9813296736.31295,2020,2
2020-03-31,7919634560.6593895,6048076079.801714,9704506123.307339,2020,3
2020-04-30,7870218965.91713,6095466097.1140175,9654446103.86224,2020,4
2020-05-31,7819156184.683464,5919162257.727227,9667429089.681763,2020,5
2020-06-30,7769740589.941204,6068999093.9354,9592339805.063211,2020,6
2020-07-31,7718677808.707537,5923707713.48734,9587639447.651236,2020,7
2020-08-31,7667615027.473869,5904437281.700599,9546897560.268015,2020,8
2020-09-30,7618199432.73161,5787198529.377606,9539410700.551434,2020,9
2020-10-31,7567136651.497943,5671919558.738973,9431466959.258902,2020,10
2020-11-30,7517721056.755685,5832055744.227297,9309258899.637335,2020,11
2020-12-31,7466658275.5220175,5782462278.623406,9257827004.364206,2020,12
2021-01-31,7415595494.28835,5507669551.928815,9300207970.472837,2021,1
2021-02-28,7369474272.528909,5558120685.644375,9199844930.00093,2021,2
2021-03-31,7318411491.295241,5543924018.003825,9112218235.627617,2021,3
2021-04-30,7268995896.552981,5401629744.607203,9136907298.515102,2021,4
2021-05-31,7217933115.319314,5570375941.721018,8931513999.570644,2021,5
2021-06-30,7168517520.577056,5327206213.664523,8884025418.574846,2021,6
2021-07-31,7117454739.343389,5153628649.369074,8993568211.758947,2021,7
2021-08-31,7066391958.10972,5395162028.654619,8851372588.411566,2021,8
2021-09-30,7016976363.367462,5251267725.413438,8962727023.308327,2021,9
2021-10-31,6965913582.133795,5183462730.96159,8744338146.607965,2021,10
2021-11-30,6916497987.391537,5077832754.719787,8633154138.211868,2021,11
2021-12-31,6865435206.157869,5024478892.411309,8591318002.448181,2021,12
2022-01-31,6814372424.924201,5051267235.32919,8588213839.472793,2022,1
2022-02-28,6768251203.164759,4949722238.836908,8571195199.625396,2022,2
2022-03-31,6717188421.931093,4886621296.541839,8569354177.899489,2022,3
2022-04-30,6667772827.188833,4871931931.011129,8498429910.906124,2022,4
2022-05-31,6616710045.955166,4780679311.3825035,8605703450.782114,2022,5
2022-06-30,6567294451.212908,4822573232.909818,8525476452.581793,2022,6
2022-07-31,6516231669.979239,4616696781.528338,8324719249.521726,2022,7
2022-08-31,6465168888.745572,4725152116.650134,8316664467.557167,2022,8
2022-09-30,6415753294.003314,4571976040.909945,8257198704.329001,2022,9
2022-10-31,6364690512.769647,4565884060.599445,8200997611.026998,2022,10
2022-11-30,6315274918.027389,4459614106.640141,7962094881.198733,2022,11
2022-12-31,6264212136.79372,4468840735.849644,8113089975.762474,2022,12
2023-01-31,6213149355.560053,4366191586.972515,8159025238.516468,2023,1
2023-02-28,6167028133.800612,4427654296.896724,7968749487.749977,2023,2
2023-03-31,6115965352.566944,4329941846.1781845,7946331575.6886425,2023,3
2023-04-30,6066549757.824685,4231326114.3677163,7860118801.883792,2023,4
2023-05-31,6015486976.591018,4225449565.692406,7817175379.973039,2023,5
2023-06-30,5966071381.848759,4207117620.5978436,7704555784.68875,2023,6
2023-07-31,5915008600.615091,4192175847.163738,7692607903.407434,2023,7
2023-08-31,5863945819.381424,3941139669.2122035,7633255034.758811,2023,8
2023-09-30,5814530224.639165,3925518561.860912,7723583671.59269,2023,9
2023-10-31,5763467443.4054985,3905717037.9775524,7542523321.316246,2023,10
2023-11-30,5714051848.663239,3965826685.7902255,7571757306.9818125,2023,11
2023-12-31,5662989067.429572,3946252095.119321,7540069960.081383,2023,12
2024-01-31,5611926286.195905,3851176188.6861176,7447387975.365394,2024,1
2024-02-29,5564157877.945054,3563848883.598744,7238091198.7914505,2024,2
2024-03-31,5513095096.711387,3691396510.477641,7230610504.193509,2024,3
2024-04-30,5463679501.969128,3751045761.6137047,7259973212.556391,2024,4
2024-05-31,5412616720.73546,3596187284.597049,7296508914.771487,2024,5
2024-06-30,5363201125.993202,3569669471.944932,7169558443.468467,2024,6
2024-07-31,5312138344.759534,3471284874.239577,7038263158.003715,2024,7
2024-08-31,5261075563.525867,3346367953.463917,7050925765.103802,2024,8
2024-09-30,5211659968.783608,3286004583.57799,6959785878.730445,2024,9
2024-10-31,5160597187.549941,3353202336.600194,6842057832.075788,2024,10
2024-11-30,5111181592.807682,3265348721.860066,6939672932.634262,2024,11
2024-12-31,5060118811.574015,3296138877.2620616,6944675229.607418,2024,12
